Unnamed: 0,ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
272,tt0482805,Nakhuda,1968,0.0,0.0,0.0,-,urdu
273,tt0268520,Pakhandi,1984,138.0,6.5,26.0,Drama            ,hindi
274,tt0325620,Ini Ethra Sandhyakal,1979,0.0,0.0,0.0,-,malayalam
275,tt2498312,Bachchan,2013,145.0,6.6,926.0,"Action, Crime, Thriller            ",kannada
276,tt3877652,Desi Kattey,2014,139.0,4.0,125.0,Action            ,hindi
277,tt0329724,Vaddante Dabbu,1954,139.0,6.6,10.0,"Comedy, Drama            ",telugu
278,tt4952766,Nooran,1957,0.0,0.0,0.0,Romance            ,punjabi
279,tt0374069,Murderer,1935,0.0,0.0,0.0,-,hindi
280,tt6853994,Tharangam,2017,153.0,6.3,478.0,"Action, Comedy            ",malayalam
281,tt14191284,Zunjar,2003,0.0,0.0,0.0,-,marathi
282,tt2929820,Pyase Nain,1989,0.0,0.0,0.0,Drama            ,hindi
283,tt2714450,Anokha Chamatkar,1988,0.0,0.0,0.0,Drama            ,hindi
284,tt8178538,Vasudhaika 1957,2016,0.0,0.0,0.0,Horror            ,telugu
285,tt0414156,Insaan Aur Shaitan,1970,0.0,5.1,14.0,Action            ,hindi
286,tt9729774,Sapthagiri LLB,2017,138.0,7.2,56.0,"Comedy, Drama            ",telugu
287,tt5242076,Prem Vidrohi,2012,0.0,0.0,0.0,Action            ,bhojpuri
288,tt5948916,Manamantha,2016,164.0,7.7,840.0,Drama            ,telugu
289,tt2549618,August 2,2012,0.0,4.2,9.0,Thriller            ,hindi
290,tt6444022,Ponge Ezhu Manohara,2015,0.0,0.0,0.0,"Comedy, Drama            ",tamil
291,-,Maayon,2018,0.0,0.0,0.0,"Mystery, Thriller            ",tamil
292,tt3411076,1:13:7 Ek Tera Saath,2016,120.0,5.7,57.0,Horror            ,hindi
293,tt4604852,Diyar Bhojai,1980,0.0,0.0,0.0,Romance            ,gujarati
294,tt3949344,Sair-E-Paristan,1958,0.0,0.0,0.0,Fantasy            ,hindi
295,tt1757789,Lalkare Sheran De,1994,117.0,0.0,0.0,Action            ,punjabi
296,tt4651494,Azad Champion,1968,0.0,0.0,0.0,Action            ,hindi
297,tt1475422,Thazampoo,1965,0.0,6.8,6.0,-,tamil
298,tt0249571,Haseena 420,1988,0.0,6.2,5.0,-,urdu
299,tt11286160,Record,2019,81.0,0.0,0.0,Horror            ,urdu
300,tt1310391,Raogari Illu,1988,0.0,0.0,0.0,"Comedy, Drama            ",telugu
301,tt4597882,Proud to Be a Sikh,2014,92.0,7.2,20.0,Drama            ,punjabi
