"ID";"CommonName";"SeriesAmount";"global_id";"FilmType";"FrameFormat";"Filmino";"Duration";"Year";"ProducingCountry";"FilmStudio";"IsColor";"AgeRestrictions";"CopyQuality";"DigitalVersion";
"Код";"Название";"Количество серий";"global_id";"Тип фильма";"Формат кадра";"Сведения о фильме";"Длительность";"Год выпуска";"Страна";"Студия";"Цветность";"Возрастные ограничения";"Категория качества копии";"Наличие электронной версии копии";
"1838";"Сказки… сказки… сказки старого Арбата";"1";"170812096";"художественный";"широкоэкранный";"";"nested data";"1982";"nested data";"nested data";"цветной";"0+";"1, 3";"нет";
"1844";"Слезы капали";"1";"170812100";"художественный";"широкоэкранный";"";"nested data";"1982";"nested data";"nested data";"цветной";"12+";"1, 2, 3";"нет";
"1846";"Слон и веревочка";"1";"170812102";"художественный";"широкоэкранный";"приключения";"nested data";"1945";"nested data";"nested data";"чёрно-белый";"0+";"1, 2";"нет";
"1853";"Смех и горе у Бела моря";"1";"170812105";"художественный";"широкоэкранный";"";"nested data";"1988";"nested data";"nested data";"цветной";"0+";"2, 3";"нет";
"1854";"Снежная королева";"1";"170812106";"художественный";"широкоэкранный";"";"nested data";"1957";"nested data";"nested data";"цветной";"0+";"2, 3";"нет";
"1857";"Солярис 2 серии";"2";"170812108";"художественный";"широкоэкранный";"";"nested data";"1972";"nested data";"nested data";"цветной";"12+";"1, 2";"нет";
"1869";"Сталкер";"1";"170812114";"художественный";"широкоэкранный";"";"nested data";"1979";"nested data";"nested data";"цветной";"12+";"1, 2, 3";"нет";
"1876";"Стачка";"1";"170812118";"художественный";"широкоэкранный";"исторический";"nested data";"1924";"nested data";"nested data";"чёрно-белый";"12+";"1";"нет";
"1877";"Степь 2 серии";"2";"170812119";"художественный";"широкоэкранный";"";"nested data";"1977";"nested data";"nested data";"цветной";"12+";"2";"нет";
"1882";"Странная история доктора Джекила и мистера Хайда";"1";"170812121";"художественный";"широкоэкранный";"";"nested data";"1985";"nested data";"nested data";"цветной";"18+";"1, 2, 3";"нет";
"1884";"Суворов";"1";"170812123";"художественный";"широкоэкранный";"историко-биографический";"nested data";"1940";"nested data";"nested data";"чёрно-белый";"0+";"2, 3";"нет";
"1886";"Схватка в пурге";"1";"170812125";"художественный";"широкоэкранный";"криминальная драма";"nested data";"1977";"nested data";"nested data";"чёрно-белый";"12+";"2";"нет";
"1888";"С черного хода";"1";"170812126";"художественный";"широкоэкранный";"";"nested data";"2009";"nested data";"nested data";"цветной";"16+";"1";"да";
"1889";"Сын полка";"1";"170812127";"художественный";"широкоэкранный";"";"nested data";"1946";"nested data";"nested data";"чёрно-белый";"0+";"1, 2, 3";"нет";
"1892";"Таинственный остров";"1";"170812128";"художественный";"широкоэкранный";"";"nested data";"1941";"nested data";"nested data";"цветной";"0+";"1, 2";"нет";
"1894";"Тайна Голубой долины";"1";"170812129";"художественный";"широкоэкранный";"приключения";"nested data";"2004";"nested data";"nested data";"цветной";"0+";"2";"нет";
"1905";"Тимур и его команда";"1";"170812134";"художественный";"широкоэкранный";"";"nested data";"1940";"nested data";"nested data";"чёрно-белый";"0+";"1, 2";"нет";
"1914";"Трактористы";"1";"170812139";"художественный";"широкоэкранный";"комедия";"nested data";"1939";"nested data";"nested data";"чёрно-белый";"0+";"2, 3";"нет";
"1920";"Тринадцать";"1";"170812142";"художественный";"широкоэкранный";"военные приключения";"nested data";"1936";"nested data";"nested data";"чёрно-белый";"12+";"1";"нет";
"1928";"Убить дракона";"1";"170812146";"художественный";"широкоэкранный";"";"nested data";"1988";"nested data";"nested data";"цветной";"16+";"1, 3";"нет";
"1929";"Умирать не страшно";"1";"170812147";"художественный";"широкоэкранный";"драма";"nested data";"1991";"nested data";"nested data";"цветной";"12+";"2";"нет";
"1930";"Униженные и оскорбленные";"1";"170812148";"художественный";"широкоэкранный";"экранизация";"nested data";"1990";"nested data";"nested data";"цветной";"12+";"1, 2";"нет";
"1937";"Учитель";"1";"170812150";"художественный";"широкоэкранный";"комедия";"nested data";"1939";"nested data";"nested data";"чёрно-белый";"12+";"1";"нет";
"1938";"Ушел и не вернулся";"1";"170812151";"художественный";"широкоэкранный";"мелодрама";"nested data";"2011";"nested data";"nested data";"цветной";"16+";"1";"да";
"1945";"Холодное лето пятьдесят третьего";"1";"170812155";"художественный";"широкоэкранный";"";"nested data";"1988";"nested data";"nested data";"цветной";"12+";"2, 3";"нет";
"1947";"Цирк";"1";"170812157";"художественный";"широкоэкранный";"комедия";"nested data";"1936";"nested data";"nested data";"чёрно-белый";"0+";"1";"нет";
"1948";"Чапаев";"1";"170812158";"художественный";"широкоэкранный";"историко-биографический";"nested data";"1934";"nested data";"nested data";"чёрно-белый";"6+";"2, 3";"нет";
"1951";"Человек в футляре";"1";"170812160";"художественный";"широкоэкранный";"экранизация";"nested data";"1939";"nested data";"nested data";"чёрно-белый";"12+";"1, 2";"нет";
"1956";"Человек – невидимка";"1";"170812163";"художественный";"широкоэкранный";"";"nested data";"1984";"nested data";"nested data";"цветной";"6+";"2, 3";"нет";
"1959";"Человек с ружьем";"1";"170812164";"художественный";"широкоэкранный";"драма";"nested data";"1936";"nested data";"nested data";"чёрно-белый";"6+";"1";"нет";
"1964";"Черный монах";"1";"170812166";"художественный";"широкоэкранный";"";"nested data";"1988";"nested data";"nested data";"цветной";"12+";"1, 2";"нет";
"1967";"Четыре таксиста и собака";"1";"170812168";"художественный";"широкоэкранный";"комедия";"nested data";"2004";"nested data";"nested data";"цветной";"0+";"1";"нет";
"1968";"Чиполлино";"1";"170812169";"художественный";"широкоэкранный";"";"nested data";"1973";"nested data";"nested data";"цветной";"0+";"2, 3";"нет";
"1970";"Чича";"1";"170812171";"художественный";"широкоэкранный";"комедия";"nested data";"1992";"nested data";"nested data";"цветной";"6+";"1, 2";"нет";
"1975";"Чучело";"1";"170812173";"художественный";"широкоэкранный";"драма";"nested data";"1984";"nested data";"nested data";"цветной";"6+";"1, 2";"нет";
"1979";"Школа мужества";"1";"170812175";"художественный";"широкоэкранный";"";"nested data";"1954";"nested data";"nested data";"чёрно-белый";"12+";"1";"нет";
"1981";"Щен из созвездия Гончих Псов";"1";"170812176";"художественный";"широкоэкранный";"мелодрама";"nested data";"1991";"nested data";"nested data";"цветной";"0+";"3";"нет";
"1982";"Экипаж 2 серии";"2";"170812178";"художественный";"широкоэкранный";"";"nested data";"1979";"nested data";"nested data";"цветной";"12+";"1, 2";"нет";
"1985";"Юность";"1";"170812179";"художественный";"широкоэкранный";"военная драма";"nested data";"1937";"nested data";"nested data";"чёрно-белый";"12+";"1, 2";"нет";
"1986";"Юность Максима";"1";"170812181";"художественный";"широкоэкранный";"драма";"nested data";"1934";"nested data";"nested data";"чёрно-белый";"6+";"1";"нет";
"1987";"Юность поэта";"1";"170812182";"художественный";"широкоэкранный";"историко-биографический";"nested data";"1937";"nested data";"nested data";"чёрно-белый";"6+";"2, 3";"нет";
"1994";"Ярослав Мудрый 2 серии";"2";"170812187";"художественный";"широкоэкранный";"историко-биографический";"nested data";"1982";"nested data";"nested data";"цветной";"12+";"3";"нет";
"1166";"Если это не любовь, то что же?";"1";"170862296";"художественный";"широкоэкранный";"экранизация";"nested data";"1974";"nested data";"nested data";"чёрно-белый";"14+";"2";"нет";
"1167";"Испытатель";"1";"170862297";"художественный";"широкоэкранный";"мелодрама";"nested data";"1987";"nested data";"nested data";"цветной";"14+";"1";"нет";
"1186";"Пусть светит";"1";"170862300";"художественный";"широкоэкранный";"мистика";"nested data";"1961";"nested data";"nested data";"чёрно-белый";"14+";"2";"нет";
"1191";"Самогонщики";"1";"170862301";"художественный";"широкоэкранный";"комедия";"nested data";"1973";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
"1192";"Сделано в «Фитиле»";"1";"170862302";"художественный";"широкоэкранный";"комедия";"nested data";"1986";"nested data";"nested data";"цветной";"14+";"1";"нет";
"1200";"Ягодка любви";"1";"170862303";"художественный";"широкоэкранный";"драма";"nested data";"1975";"nested data";"nested data";"чёрно-белый";"14+";"2";"нет";
"1201";"Агент в мини-юбке";"1";"170862304";"художественный";"широкоэкранный";"комедия";"nested data";"2000";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
"1212";"Александр Пархоменко";"1";"170862305";"художественный";"широкоэкранный";"историко-биографический";"nested data";"1942";"nested data";"nested data";"чёрно-белый";"6+";"2";"нет";
"1221";"Армавир";"1";"170862306";"художественный";"широкоэкранный";"драма";"nested data";"1991";"nested data";"nested data";"цветной";"14+";"1, 2";"нет";
"1224";"Асса 2 серии";"2";"170862307";"художественный";"широкоэкранный";"музыкальная драма";"nested data";"1987";"nested data";"nested data";"цветной";"14+";"2, 3";"нет";
